texto,label,fonte,data_coleta
"Senado aprova a IDENTIFICAÇÃO NACIONAL, documento que substituirá RG, CNH e título de eleitor. .",falso,Fake.br-Corpus,2026-05-24
Bolsa brasileira tem melhor semana do mês,verdadeiro,Aos Fatos,2021-02-03
Governo vai congelar todas as contas bancárias,falso,Lupa,2021-04-01
"Suíça encontra contas ""ilícitas"" usadas para abastecer as campanhas de Lula e Dilma.",falso,Fake.br-Corpus,2026-05-24
orçamento do fgts de r bi impulsiona moradias e avalia novas faixas de renda,verdadeiro,Correio,2026-05-24
Governo vai vender hidrelétricas para cobrir roubalheiras. .,falso,Fake.br-Corpus,2026-05-24
polícia prende suspeito de envolvimento em estupro coletivo de adolescente submetida a tribunal do tráfico,verdadeiro,EXTRA,2026-05-24
transferência de vorcaro aumenta atrito da pf com stf entenda as razões,verdadeiro,Diário do Centro do Mundo,2026-05-24
"Terceira Guerra? Rússia assusta o mundo e faz simulação de guerra com 40 milhões de civis. . ""É uma oportunidade de preparar e coordenar as forças ofensivas e defensivas de nosso país.",falso,Fake.br-Corpus,2026-05-24
"Senador anuncia CPI da Lei Rouanet: Vamos acabar o mamatório da Cultura, doa a quem doer"". .",falso,Fake.br-Corpus,2026-05-24
Tragédia no Acre: Pai e mãe da jovem de 20 anos que se suicidou ontem (27) são encontrados mortos. .,falso,Fake.br-Corpus,2026-05-24
"O PT é uma piada pronta! Senador tenta defender Dilma das ""pedaladas"" e acaba complicando Lula.",falso,Fake.br-Corpus,2026-05-24
isabelle nogueira comemora festival da cunhã em manaus sacode a economia em até r milhões,verdadeiro,gshow,2026-05-24
"Vice-Prefeito de BH diz que governo federal quer trocar votos do ""impeachment"" por verbas escolares. .",falso,Fake.br-Corpus,2026-05-24
Tribunal Superior Eleitoral valida resultado de eleição,verdadeiro,TSE,2020-05-01
Governadora de Roraima faz a festa e nomeia 19 parentes para cargos de confiança.,falso,Fake.br-Corpus,2026-05-24
a história do hospital colônia de barbacena a cidade dos loucos que será fechado na próxima segunda depois de um século,verdadeiro,O GLOBO,2026-05-24
zelensky diz ser injusto ucrânia entrar na ue sem direito a voto,verdadeiro,Poder360,2026-05-24
Banco Central projeta inflação dentro da meta,verdadeiro,Fato ou Fake,2024-01-10
homem compra urna para pôr as cinzas do avô e recebe o produto com restos mortais de outra pessoa,verdadeiro,EXTRA,2026-05-24
"Lula tropeça nas palavras: ""Serei candidato com a ajuda do povo baiano ... é só dar 10 reais para o pobre"". . ""O PT era uma organização criminosa, foi criado para ser a nave mãe [...] e o Lula como era a pessoa mais famosa dessa organização criminosa, era o chefe, portanto tudo que o Lula fez no governo foi para roubar"" debochou o ex-presidente.",falso,Fake.br-Corpus,2026-05-24
Ministro da Justiça toma posse e ironiza pergunta de repórter durante coletiva.,falso,Fake.br-Corpus,2026-05-24
Inflação acumulada em 6 meses cai,verdadeiro,Agência Brasil,2025-11-10
2x0: Mais um desembargador vota pela condenação de Lula e pede a prisão do réu.,falso,Fake.br-Corpus,2026-05-24
Lei obriga implante de rastreador,falso,Aos Fatos,2023-12-27
Presidente assina acordo internacional,verdadeiro,TSE,2024-03-11
BOMBA: A Polícia Federal descobriu um esquema de fraude no cálculo do PIB de 2025.,falso,WhatsApp,2026-06-12
Decreto fecha bolsa de valores,falso,Aos Fatos,2025-05-14
Governo proíbe dinheiro em espécie,falso,Agência Brasil,2022-07-25
estadão inicia o brasil adiante ciclo de debates para apresentar propostas concretas ao país,verdadeiro,"O Estado de S. Paulo,",2026-05-24
Real se valoriza frente ao dólar americano,verdadeiro,TSE,2022-08-27
TSE publica edital de eleição,verdadeiro,Lupa,2020-03-01
escola padre edson celebra anos com reforma de quase r milhões em mâncio lima,verdadeiro,ac24horas,2026-05-24
Mercado financeiro vai quebrar,falso,Agência Brasil,2022-10-31
Economia elimina empregos,falso,TSE,2026-04-08
expulsão do carrascal em flamengo x palmeiras revolta torcedores não dá,verdadeiro,LANCE,2026-05-24
polícia apura atentado a tiros que matou criança de ano no interior do maranhão,verdadeiro,Jornal Pequeno,2026-05-24
"Advogado de Gleisi era o ""operador da lavagem"".",falso,Fake.br-Corpus,2026-05-24
"José de Abreu desabafa sobre o amigo Dirceu: ""O Dirceu tá fod#$%.Sabe que a cadeia é pra sempre"".",falso,Fake.br-Corpus,2026-05-24
filho dado como morto reaparece em quem ama cuida e vira pesadelo na disputa pela fortuna de arthur,verdadeiro,O Tempo,2026-05-24
Escárnio! Lula se recusa a depor para Sérgio Moro e diz que só falará com a Justiça de Brasília.,falso,Fake.br-Corpus,2026-05-24
Vendas no varejo crescem acima da inflação,verdadeiro,TSE,2025-03-14
Chico Xavier previu Terceira Guerra Mundial e destacou o papel do Brasil. .,falso,Fake.br-Corpus,2026-05-24
educação antirracista entra na pauta de municípios baianos,verdadeiro,A Tarde,2026-05-24
Governo Temer pode ser o mais rápido da história. 13 senadores poderão mudar seus votos.,falso,Fake.br-Corpus,2026-05-24
"Sem mortadela e sem dinheiro, manifestações a favor de Lula começam a fracassar no RS.",falso,Fake.br-Corpus,2026-05-24
Istoé revela conta aberta na Suíça para Dilma receber propina de empreiteira.,falso,Fake.br-Corpus,2026-05-24
Presidente do PT pede para internautas colocarem foto de Lula no perfil do Face e vira piada nacional.,falso,Fake.br-Corpus,2026-05-24
ponte mais alta do mundo fica na china e precisa chorar por segurança,verdadeiro,UOL,2026-05-24
Confiança do consumidor sobe,verdadeiro,TSE,2025-12-04
"Dilma faz descoberta científica: ""Enquanto o mosquito da dengue se reproduzir, estamos perdendo a luta"".",falso,Fake.br-Corpus,2026-05-24
STF nega recurso de investigado em processo,verdadeiro,Fato ou Fake,2025-10-21
Governo proíbe manifestações políticas,falso,Fato ou Fake,2023-02-27
"Folha: ""Sarney prometeu ajudar investigado da Lava-Jato a ""escapar"" de Sérgio Moro"". .",falso,Fake.br-Corpus,2026-05-24
urnas com cinzas de dois cachorros roubadas durante assalto a ônibus no rio são recuperadas pela polícia,verdadeiro,O GLOBO,2026-05-24
dólar sobe e bolsa cai com petróleo em alta e impasse sem fim no irã,verdadeiro,Metrópoles,2026-05-24
Presidente ordena regime totalitário,falso,Agência Brasil,2024-11-17
relembre o atentado mais perigoso que donald trump sofreu,verdadeiro,O Tempo,2026-05-24
condenado por desmate terá de restaurar área e pagar indenização no ac,verdadeiro,ac24horas,2026-05-24
não discuto resultado de urna diz caiado,verdadeiro,Poder360,2026-05-24
Governo anuncia investimento em energia renovável,verdadeiro,Fato ou Fake,2025-10-22
"Maior cientista do mundo alerta: ""O Planeta Terra estará inabitável no ano de 3016"".",falso,Fake.br-Corpus,2026-05-24
"Abreu joga a toalha: ""Lula prestes a ser condenado... desisto.",falso,Fake.br-Corpus,2026-05-24
trump personaliza memória oficial dos eua às vésperas dos anos da independência do país,verdadeiro,O GLOBO,2026-05-24
Governo vai proibir educação privada,falso,Agência Brasil,2026-03-29
erika hilton rejeita negociação sobre compensações na pec da x,verdadeiro,EBC,2026-05-24
urnas eletrônicas são seguras e auditáveis,verdadeiro,TSE,2026-05-16
Crescimento econômico retoma,verdadeiro,Lupa,2026-05-23
mesário que fraudou eleição pagará por danos morais coletivos,verdadeiro,Consultor Jurídico,2026-05-24
suplente de davi alcolumbre é indiciado pela polícia federal,verdadeiro,"O Estado de S. Paulo,",2026-05-24
Teori despacha ofício para Sérgio Moro.,falso,Fake.br-Corpus,2026-05-24
papa leão xiv reforça defesa do meio ambiente e critica poluição na itália,verdadeiro,O DIA,2026-05-24
Comércio varejista cresce,verdadeiro,Fato ou Fake,2020-03-21
"Taxista confunde viatura com Uber, ataca o carro e é preso.",falso,Fake.br-Corpus,2026-05-24
Investimento em startups cresce,verdadeiro,Aos Fatos,2022-09-13
Inflação vai chegar a 200% até dezembro,falso,Agência Brasil,2025-03-18
"Danilo Gentili: ""Lula pedir prisão de Sérgio Moro é igual o Coringa pedir a prisão do Batman"". . ""O Lula quer prender o Moro"" essa é a piada do dia, disse Gentili.",falso,Fake.br-Corpus,2026-05-24
trump defende segurança reforçada após tiroteio perto da casa branca,verdadeiro,Brasil 247,2026-05-24
dólar sobe no dia de olho em guerra e fed mas recua na semana,verdadeiro,O DIA,2026-05-24
alcolumbre deve liberar repasses a municípios antes da eleição,verdadeiro,Brasil 247,2026-05-24
"Votação do fim do foro no senado é ""mais do mesmo"".",falso,Fake.br-Corpus,2026-05-24
Vendas de varejo crescem,verdadeiro,Lupa,2025-10-16
Foragido que está na Espanha é ex-consultor de José Dirceu.,falso,Fake.br-Corpus,2026-05-24
Varejo fecha mês em alta,verdadeiro,Fato ou Fake,2020-09-04
irã executa homem acusado de espionagem durante guerra com eua e israel,verdadeiro,Estado de Minas,2026-05-24
Câmara aprova lei de combate à corrupção,verdadeiro,Fato ou Fake,2024-07-19
o castelo de mentiras do bolsonarismo está se desmoronando diz lindbergh após datafolha vídeo,verdadeiro,Brasil 247,2026-05-24
"Frota: ""Tenho um grupo com mais de 70 lutadores prontos para defender a Janaína"".",falso,Fake.br-Corpus,2026-05-24
"Integrantes do MST confessam: ""O governo aluga vários ônibus de luxo pra gente acompanhar a Dilma."".",falso,Fake.br-Corpus,2026-05-24
prefeitura entrega ampliação da escola tiradentes na segundafeira,verdadeiro,Paraíba Online,2026-05-24
Presidente assina confisco de bens,falso,TSE,2026-01-13
"Mexeu com gente errada! Magistrados mandam recado para Renan:""O povo não acredita nas suas intenções"".",falso,Fake.br-Corpus,2026-05-24
Congresso aprova lei de segurança pública,verdadeiro,Aos Fatos,2020-03-19
Boechat e Jornal da Band desmascaram o governo corrupto do PT. .,falso,Fake.br-Corpus,2026-05-24
Indústria de alimentos cresce 5%,verdadeiro,Fato ou Fake,2025-12-28
governo cria programa para combater crime na amazônia,verdadeiro,Poder360,2026-05-24
"Dilma diz que quer voltar e consultar a população sobre novas eleições presidenciais. . ""Será necessário consultar a população para remontar um ""pacto"" que vinha desde a Constituição de 1988 e foi rompido com o processo de impeachment"", disse Dilma em entrevista exibida pela TV Brasil.",falso,Fake.br-Corpus,2026-05-24
STF pede urgência para impeachment de Temer.,falso,Fake.br-Corpus,2026-05-24
recife homem que colou teclas de urna eletrônica nas eleições de é condenado pelo trepe,verdadeiro,Folha De Pernambuco,2026-05-24
fantasmas do passado,verdadeiro,O GLOBO,2026-05-24
Fundos de private equity investem no Brasil,verdadeiro,Agência Brasil,2024-02-15
Presidente ordena nacionalização de bens,falso,Aos Fatos,2023-05-01
governo libera r bilhões do fgts para trabalhadores a partir de terça,verdadeiro,O DIA,2026-05-24
Taxa de desemprego vai atingir 80%,falso,Agência Brasil,2026-01-23
"PIB anualizado cresce 2,7%",verdadeiro,TSE,2024-11-25
lei henry borel completa anos neste domingo dia antecede júri do caso,verdadeiro,CNN Brasil,2026-05-24
Projeto de Lei propõe salário vitalício de R$ 15 mil para vereadores do RJ.,falso,Fake.br-Corpus,2026-05-24
FUGIU? Filho de Lula foi para os EUA.,falso,Fake.br-Corpus,2026-05-24
Senado aprova lei de saúde pública,verdadeiro,Agência Brasil,2021-08-17
"Resende: ""O Brasil tem a justiça mais cara do mundo e só temos o Sérgio Moro trabalhando"". . abre aspas Veja se é possível viver no nosso Brasil.",falso,Fake.br-Corpus,2026-05-24
Banco Central sinaliza estabilidade de juros,verdadeiro,Aos Fatos,2025-08-28
mais de municípios do piauí poderão voltar a acessar recursos federais após derrubada de veto pelo congresso,verdadeiro,O DIA,2026-05-24
Confiança do empresário atinge patamar positivo,verdadeiro,Fato ou Fake,2022-01-28
"Inflação acumulada em 12 meses atinge 4,5%",verdadeiro,Lupa,2021-05-27
Movimento que pede a criação de um novo país fará consulta pública no próximo dia 7.,falso,Fake.br-Corpus,2026-05-24
Investimento em tecnologia cresce,verdadeiro,Fato ou Fake,2023-05-20
Bolsonaro é absolvido pelo Conselho de Ética.,falso,Fake.br-Corpus,2026-05-24
justiça de sp identifica fraude com ia em ações judiciais,verdadeiro,UOL Notícias,2026-05-24
Governo vai proibir investimentos em bolsa,falso,Fato ou Fake,2025-09-30
fgts libera mais de r bilhões na próxima semana parte em saques e restante para pagamento de débitos no desenrola,verdadeiro,G1,2026-05-24
obras em centro de aquicultura de alagoas vão fortalecer piscicultura e repovoamento do são francisco,verdadeiro,Tribuna Independente,2026-05-24
Decreto elimina o real,falso,TSE,2020-04-02
TSE aprova calendário eleitoral,verdadeiro,Lupa,2021-02-14
Desemprego chega a 85%,falso,Lupa,2025-01-08
ouro verde plantas e grãos desbancam petróleo na liderança,verdadeiro,A Tarde,2026-05-24
acordo eua e irã cessarfogo de dias e abertura de ormuz,verdadeiro,G1,2026-05-24
acre tem mais de mil pessoas à espera do bolsa família,verdadeiro,ac24horas,2026-05-24
Advogado citado na Lava-Jato morre em Brasília.,falso,Fake.br-Corpus,2026-05-24
Bolsa de Valores tem dia positivo,verdadeiro,Aos Fatos,2021-09-03
Dilma ignora o apelo das ruas e coloca o rato para tomar conta do queijo.,falso,Fake.br-Corpus,2026-05-24
Decreto estabelece autocracia,falso,Fato ou Fake,2024-10-21
Presidente assina decreto para confiscar ouro de cidadãos,falso,Aos Fatos,2026-01-11
Decreto ordena tomada de terras,falso,Agência Brasil,2025-10-08
Governo confisca poupança de cidadãos,falso,Agência Brasil,2022-12-31
Real tem melhor desempenho em 3 meses,verdadeiro,Lupa,2022-11-10
Governo aboliu eleições,falso,Lupa,2021-11-17
"Comércio varejista tem crescimento de 3,5%",verdadeiro,TSE,2022-06-04
fim da escala x vai elevar inflação ou reduzir empregos diz dono da riachuelo,verdadeiro,"O Estado de S. Paulo,",2026-05-24
mostra de cinema socioambiental em manaus tem programação gratuita,verdadeiro,G1,2026-05-24
Inflação chega a 250%,falso,Fato ou Fake,2020-06-23
TSE nega registro de candidato inelegível,verdadeiro,Agência Brasil,2024-03-07
Confiança de empresários sobe,verdadeiro,TSE,2023-03-25
Governo ordena confisco de todas as poupanças,falso,Lupa,2023-10-06
"Paciente com câncer descobre que seu ""tumor"" era um cone de Playmobil aspirado em 1977. .",falso,Fake.br-Corpus,2026-05-24
Pesquisa realizada nas redes sociais aponta Bolsonaro como favorito para 2018.,falso,Fake.br-Corpus,2026-05-24
crise do master foi ligada indevidamente ao stf mas é sistêmica diz gilmar mendes,verdadeiro,Correio Do Povo,2026-05-24
desmatamento o que muda na fiscalização com pl aprovado na câmara,verdadeiro,CNN Brasil,2026-05-24
Bateu o desespero! Defesa de Lula entra com habeas corpus para adiar depoimento. .,falso,Fake.br-Corpus,2026-05-24
saque fgts aniversário guia para receber o dinheiro em qualquer banco,verdadeiro,Estado de Minas,2026-05-24
Setor têxtil tem recuperação,verdadeiro,Aos Fatos,2020-08-16
Setor de energia renovável atrai investidores,verdadeiro,Agência Brasil,2025-05-25
